Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers
Caltech Post Graduate Program in Data Science,https://www.simplilearn.com/post-graduate-program-data-science?tag=,"Learn to make data-driven decisions with this PG in Data Science, built and delivered in partnership with Caltech CTME and IBM. Designed for working professionals, the program features masterclasses by Caltech faculty & IBM experts, with exclusive hackathons and Ask Me Anything sessions by IBM.",Simplilearn,,Caltech is Ranked #4 in Best Universities in the US by Times Higher Education, Times Higher Education,University Program,8583,Data Science & Business Analytics,,
Business Analytics Bootcamp,https://www.simplilearn.com/business-analytics-certification-bootcamp-training?tag=,"The Business Analytics Bootcamp, in partnership with Carlson School of Management, focuses on understanding key analytics concepts and your ability to apply these to real business problems. Learn by applying rigorous practical training and gain one of the most in-demand skills in the market.",Simplilearn,,,,University Program,8583,Data Science & Business Analytics,,
Boost Your Career With Project Management Certification,https://www.simplilearn.com/pgp-project-management-certification-training-course?tag=,"Empower your vision and skills to become an efficient project leader with this joint UMass Amherst-Simplilearn project management training. As part of this project management program, attend live online interactive classes, Harvard Business Publishing case studies, and capstone projects.",Simplilearn,,,,University Program,757,Project Management,,
Post Graduate Program in Lean Six Sigma,https://www.simplilearn.com/pgp-lean-six-sigma-certification-training-course?tag=,"Fast track your career in quality management with Simplilearn's IASSC accredited lean six sigma course. Solve real-world business problems through case studies and capstone projects, and business mentoring from industry experts from KPMG in India.",Simplilearn,,"In partnership with Isenberg, UMass Amherst -Ranked #3 Best Online MBA Worldwide","In partnership with Isenberg, UMass Amherst -Ranked #3 Best Online MBA Worldwide",University Program,8583,Quality Management,,
Boost Your Career With A Data Engineering Certificate Program,https://www.simplilearn.com/pgp-data-engineering-certification-training-course?tag=,"Simplilearn's Data Engineering post-graduate program, in partnership with Purdue University & IBM, is the ideal program for professional exposure. Aligned with AWS and Azure certifications, this applied learning program will help all master crucial Data Engineering skills.",Simplilearn,,,,University Program,8583,Big Data,,
Post Graduate Program in Cyber Security,https://www.simplilearn.com/pgp-cyber-security-certification-training-course?tag=,This Post Graduate Program in Cyber Security is designed to equip you with the skills required to become an expert in the rapidly growing field of Cyber Security. This cyber security program aims to help you stay abreast of all the latest trends in cyber security as well.,Simplilearn,,,,University Program,757,Cyber Security,,
Build a Rewarding Career With Business Analytics Program,https://www.simplilearn.com/iit-business-analytics-certification-program?tag=,This Business Analytics program will help you gain the knowledge you need to turn your organizationâ€™s data into a tactical asset to generate business value. Make data-driven strategic decisions for your organization with this Business Analytics for Strategic Decision Making program by IIT Roorkee.,Simplilearn,,,,University Program,8583,Data Science & Business Analytics,,
Advanced Executive Program in Cybersecurity,https://www.simplilearn.com/pgp-advanced-executive-program-in-cyber-security?tag=,"Become an industry-ready professional with Advanced Executive Program in Cybersecurity and transform your career in 6 months. This course provides a high-engagement learning experience with real-world applications and is designed for individuals who want to start a new, more fulfilling career.",Simplilearn,,,,University Program,757,Cyber Security,,
Master Of Business Administration (MBA),https://www.simplilearn.com/,"Kick start your management and business administration journey with this One Year Global MBA (Master of Business Administration) with  IU, Germany. This program prepares you for the global job market with a hands-on approach and international orientation.",Simplilearn,,,,University Program,,Business and Leadership,,
AI for Decision Making: Business Strategies and Applications,https://www.simplilearn.com/ai-for-decision-making-program?tag=,"This AI program with Wharton Online gives you the competitive edge in emerging business technologies. The AI for Business delivers a foundational understanding of todayâ€™s top technologies, including big data, AI and machine learning, and how you can use them to support your organizationâ€™s strategy.",Simplilearn,,Ranked #1 Best AI program by Career Karma, Career Karma,University Program,,AI & Machine Learning,,
Caltech Cloud Computing Bootcamp,https://www.simplilearn.com/cloud-computing-bootcamp-certification-course?tag=,"The Caltech Cloud Computing Bootcamp, helps you become an expert in Azure and AWS. This in-depth cloud computing Online Bootcamp course lets you master key architectural principles and develop the skills needed to become a cloud expert._x000D_
",Simplilearn,,,,University Program,8583,Cloud Computing,,
