Title,URL,Short Intro,Category,Sub-Category,Course Type,Duration,Site,Program Type,Courses,Level,Prequisites,What you learn
Learn Swift Programming Syntax,https://www.udacity.com/course/learn-swift-programming-syntax--ud902,From Optionals to Closure Expressions,,,,Estimated timeApprox. 3 Weeks,Udacity,Free Course,,Intermediate,"This course assumes prior programming experience! Specifically, you should be familiar with programming concepts like variables, if statements, and loops, as well as object-oriented concepts like methods and classes.You will also need access to a Mac computer running OS X 10.10 or later.See the Technology Requirements for using Udacity.","Swift BasicsAn introduction to Swift types and operators.Develop deftness in defining variables and constants.Practice what you've learned with exercises in Swift playgrounds.An introduction to Swift types and operators.Develop deftness in defining variables and constants.Practice what you've learned with exercises in Swift playgrounds.Optional TypesDeclare explicitly and implicitly unwrapped optionals.Unwrap optionals using both optional binding and optional chaining.Practice safely unwrapping optionals and learn to avoid errors.Declare explicitly and implicitly unwrapped optionals.Unwrap optionals using both optional binding and optional chaining.Practice safely unwrapping optionals and learn to avoid errors.Swift CollectionsLearn about the Swift Collection Types: Dictionaries, Arrays, and Sets.Perform basic operations including: append, count, insert, remove, update, find, and retrieve.Practice manipulating collections with exercises in Swift playgrounds.Learn about the Swift Collection Types: Dictionaries, Arrays, and Sets.Perform basic operations including: append, count, insert, remove, update, find, and retrieve.Practice manipulating collections with exercises in Swift playgrounds.Control Flow: Loops, If statements, and SwitchesPractice fast iteration with for-in loops by iterating through items in Arrays and Dictionaries.Create programming logic of increasing complexity with if-else statements.Delight in the convenience and conciseness of Swift switch statements.Practice fast iteration with for-in loops by iterating through items in Arrays and Dictionaries.Create programming logic of increasing complexity with if-else statements.Delight in the convenience and conciseness of Swift switch statements.How to Write and Call Functions in SwiftDefine and call functions.Correctly use local and external parameters.Identify parameter types and return types.Define and call functions.Correctly use local and external parameters.Identify parameter types and return types.Classes, Properties, and MethodsPractice building custom classes with their own properties and methods.Learn about type properties and computed properties.See example use cases for type methods and instance methods.Practice building custom classes with their own properties and methods.Learn about type properties and computed properties.See example use cases for type methods and instance methods.Enums and StructsLearn the difference between value types and references types.Practice choosing when to use enums, structs, and classes.Use enums to make your switch statements extra Swifty.Learn the difference between value types and references types.Practice choosing when to use enums, structs, and classes.Use enums to make your switch statements extra Swifty.Protocols and ExtensionsLearn how protocols and extensions can help keep your code DRY.Given a series of code snippets, fix compiler errors by implementing protocols.Edit the code in a sample app to see extensions in action.Learn how protocols and extensions can help keep your code DRY.Given a series of code snippets, fix compiler errors by implementing protocols.Edit the code in a sample app to see extensions in action.Closure ExpressionsPractice using Swift closures with the functions, sorted() and filter().Learn shorthand closure expression syntax to make your closures super concise.See how closures are used in animations in the method, animateWithDuration.Practice using Swift closures with the functions, sorted() and filter().Learn shorthand closure expression syntax to make your closures super concise.See how closures are used in animations in the method, animateWithDuration."
Offline Web Applications,https://www.udacity.com/course/offline-web-applications--ud899,Using IndexedDB & Service Worker,,,,Estimated timeApprox. 3 Weeks,Udacity,Free Course,,Intermediate,"This course is for web developers with JavaScript experience, including:object-oriented JavaScriptusing native Promisesrunning a Node web server from the terminalStudents should also be proficient in HTML and CSS, and have experience creating web apps.See the Technology Requirements for using Udacity.",The Benefits of Offline FirstThe benefits of developing offline-first applications.Understanding Lie-Fi.The benefits of developing offline-first applications.Understanding Lie-Fi.Introducing the Service WorkerHow to use Service Workers.Understanding the Service Worker Lifecycle.How to use Service Worker DevTools.How to use Service Workers.Understanding the Service Worker Lifecycle.How to use Service Worker DevTools.IndexedDB and CachingWhat is IndexedDB?How to cache assets using IndexedDB?What is IndexedDB?How to cache assets using IndexedDB?
Kotlin for Android Developers,https://www.udacity.com/course/kotlin-for-android-developers--ud888,Convert an Android app from Java to Kotlin,,,,Estimated timeApprox. 1 Week,Udacity,Free Course,,Advanced,"Students should have at least 1 year of experience programming in Java. Experience developing Android apps is helpful, but not required.See the Technology Requirements for using Udacity.",Convert a basic Android app in Java to KotlinLearn key features of the Kotlin programming languageLearn key features of the Kotlin programming language
UX Design for Mobile Developers,https://www.udacity.com/course/ux-design-for-mobile-developers--ud849,Learn to Design a 5-Star Android App,,,,Estimated timeApprox. 6 Weeks,Udacity,Free Course,,Beginner,"This course is optimized for the developer who is looking to efficiently learn the most important design techniques that will help them make better apps (with a focus on mobile/Android).That said, programming experience is not required to benefit from the design principles and best practices we teach in this course.See the Technology Requirements for using Udacity.","What is User Experience?UI vs UX.High level planning.Low-fi wireframing and prototyping.UI vs UX.High level planning.Low-fi wireframing and prototyping.User-Centered DesignThe perils of ignoring your user.How to create effective personas and use cases.Low cost user research.The perils of ignoring your user.How to create effective personas and use cases.Low cost user research.Designing for Mobile ConstraintsThe 5 big constraints: limited data, finite battery, hand-held usage, divided user attention, and small screens.The implications of these constraints and what happens when you get them wrong.Advanced wireframing.The 5 big constraints: limited data, finite battery, hand-held usage, divided user attention, and small screens.The implications of these constraints and what happens when you get them wrong.Advanced wireframing.Designing for Android DelightAndroid sensors.The importance of contextual apps.Android APIs (Google Play Services).Android sensors.The importance of contextual apps.Android APIs (Google Play Services)."
Software Development Process,https://www.udacity.com/course/software-development-process--ud805,From Idea to Product,,,,Estimated timeApprox. 3 Months,Udacity,Free Course,,Intermediate,A strong familiarity with Android development (perhaps through Developing Android Apps) is expected.See the Technology Requirements for using Udacity.,"Introduction and OverviewImportance of Software EngineeringDiscipline of Software EngineeringThe Software CrisisSoftware PhasesImportance of Software EngineeringDiscipline of Software EngineeringThe Software CrisisSoftware PhasesLife Cycle ModelsIntroduction with Barry BohemRequirements EngineeringDesignMaintenanceSoftware Process Model IntroductionWaterfall ProcessSpiral ProcessEvolutionary Prototyping ProcessRational Unified ProcessAgile ProcessChoosing a ModelLifecycle DocumentsIntroduction with Barry BohemRequirements EngineeringDesignMaintenanceSoftware Process Model IntroductionWaterfall ProcessSpiral ProcessEvolutionary Prototyping ProcessRational Unified ProcessAgile ProcessChoosing a ModelLifecycle DocumentsIntegrated Development EnvironmentEclipse IntroductionIDE OverviewPlug-InsEclipse Demo: Create Java ProjectEclipse Demo: Create a ClassEclipse Demo: Run ConfigurationEclipse Demo: DebuggingEclipse IntroductionIDE OverviewPlug-InsEclipse Demo: Create Java ProjectEclipse Demo: Create a ClassEclipse Demo: Run ConfigurationEclipse Demo: DebuggingVersion Control SystemsInterview with John BrittonVersion Control System IntroductionTwo Main Types of VCSIntroduction to GitGit WorkflowGit Demo: Intro to GitGit Demo: Git + EclipseGit Demo: GithubGit Recap: Local RepositoriesGit Recap: Remote RepositoriesInterview with John BrittonVersion Control System IntroductionTwo Main Types of VCSIntroduction to GitGit WorkflowGit Demo: Intro to GitGit Demo: Git + EclipseGit Demo: GithubGit Recap: Local RepositoriesGit Recap: Remote RepositoriesRequirements EngineeringInterview with Jane Cleland-HuangGeneral RE DefinitionSoftware Intensive SystemsFunctional and Nonfunctional RequirementsUser and System RequirementsModeling RequirementsAnalyzing RequirementsRequirements PrioritizationRequirements Engineering ProcessInterview with Jane Cleland-HuangGeneral RE DefinitionSoftware Intensive SystemsFunctional and Nonfunctional RequirementsUser and System RequirementsModeling RequirementsAnalyzing RequirementsRequirements PrioritizationRequirements Engineering ProcessOO Software and UMLObject Orientation IntroductionUML Structural Diagrams: Class DiagramsClass Diagram: Creation TipsUML Structural Diagrams: Component DiagramUML Structural Diagram: Deployment DiagramUML Behavioral Diagram: Use CaseUse Case Diagram: Creation TipsUML Behavioral Diagrams: SequenceUML Behavioral Diagrams: State Transition DiagramObject Orientation IntroductionUML Structural Diagrams: Class DiagramsClass Diagram: Creation TipsUML Structural Diagrams: Component DiagramUML Structural Diagram: Deployment DiagramUML Behavioral Diagram: Use CaseUse Case Diagram: Creation TipsUML Behavioral Diagrams: SequenceUML Behavioral Diagrams: State Transition DiagramSoftware ArchitectureInterview with Nenad MedvidovicWhat is Software Architecture?Prescriptive vs. Descriptive ArchitectureArchitectural EvolutionArchitectural DegradationArchitectural RecoveryArchitectural ElementsComponents, Connectors, and ConfigurationDeployment Architectural PerspectiveInterview with Nenad MedvidovicWhat is Software Architecture?Prescriptive vs. Descriptive ArchitectureArchitectural EvolutionArchitectural DegradationArchitectural RecoveryArchitectural ElementsComponents, Connectors, and ConfigurationDeployment Architectural PerspectiveA Tale of Analysis and DesignAnalyzing RequirementsRefining Classes and AttributesAdding AttributesIdentifying OperationsRefining the Class DiagramAnalyzing RequirementsRefining Classes and AttributesAdding AttributesIdentifying OperationsRefining the Class DiagramDesign PatternsPatterns CataloguePattern FormatFactory Method PatternStrategy PatternChoosing a PatternNegative Design PatternsPatterns CataloguePattern FormatFactory Method PatternStrategy PatternChoosing a PatternNegative Design PatternsUnified Software ProcessUse-Case DrivenInception PhaseElaboration PhaseConstruction PhaseTransition PhasePhases and IterationsUse-Case DrivenInception PhaseElaboration PhaseConstruction PhaseTransition PhasePhases and IterationsGeneral ConceptsFailure, Fault and ErrorVerification ApproachesPros and Cons of ApproachesTesting IntroductionTesting Granularity LevelsAlpha and Beta TestingBlack and White Box Testing IntroductionFailure, Fault and ErrorVerification ApproachesPros and Cons of ApproachesTesting IntroductionTesting Granularity LevelsAlpha and Beta TestingBlack and White Box Testing IntroductionBlack-Box TestingSystematic Functional Testing ApproachTest Data SelectionCategory Partition MethodProduce and Evaluate Test Case SpecificationsGenerate Test Cases from Test Case SpecificationsModel Based TestingFinite State MachinesSystematic Functional Testing ApproachTest Data SelectionCategory Partition MethodProduce and Evaluate Test Case SpecificationsGenerate Test Cases from Test Case SpecificationsModel Based TestingFinite State MachinesWhite-Box TestingCoverage Criteria IntroStatement CoverageControl Flow GraphsTest Criteria SubsumptionMC/DC CoverageCoverage Criteria IntroStatement CoverageControl Flow GraphsTest Criteria SubsumptionMC/DC CoverageAgile Development MethodsCost of ChangeAgile Software DevelopmentExtreme Programming (XP)XP’s Values and PrinciplesTest First DevelopmentRefactoringPair ProgrammingContinuous IntegrationTesting StrategyHigh Level Scrum ProcessCost of ChangeAgile Software DevelopmentExtreme Programming (XP)XP’s Values and PrinciplesTest First DevelopmentRefactoringPair ProgrammingContinuous IntegrationTesting StrategyHigh Level Scrum ProcessSoftware RefactoringReasons to RefactorRefactoring DemoRefactoring RisksCost of RefactoringWhen Not to RefactorReasons to RefactorRefactoring DemoRefactoring RisksCost of RefactoringWhen Not to Refactor"
Data Visualization in Tableau,https://www.udacity.com/course/data-visualization-in-tableau--ud1006,See and understand your data,,,,Estimated timeApprox. 3 Weeks,Udacity,Free Course,,Beginner,No programming experience required.Interested in using data to make better business decisions.Tableau license (provided to Nanodegree students at no cost).See the Technology Requirements for using Udacity.,"Data Visualization FundamentalsLearn why visualization is so important in analytics.Learn about exploratory versus explanatory visualizations.Get introduced to data types and ways to encode data.Learn why visualization is so important in analytics.Learn about exploratory versus explanatory visualizations.Get introduced to data types and ways to encode data.Design PrinciplesUse chart type, color, size, and shape to get the most out of data visualizations.Learn about the importance of limiting the amount of data presented in an analysis.Learn to use data with integrity.Use chart type, color, size, and shape to get the most out of data visualizations.Learn about the importance of limiting the amount of data presented in an analysis.Learn to use data with integrity.Creating Visualizations with TableauDo basic functions in Tableau, like inputting data and building charts.Learn to use colors, shapes, and other tools to dig deep into data.Learn to use calculations to create new data columns.Do basic functions in Tableau, like inputting data and building charts.Learn to use colors, shapes, and other tools to dig deep into data.Learn to use calculations to create new data columns.Telling Stories with TableauBuild Tableau dashboards.Create visualizations to tell stories with data.Build Tableau dashboards.Create visualizations to tell stories with data."
Intro to Progressive Web Apps,https://www.udacity.com/course/intro-to-progressive-web-apps--ud811,Web Apps for the Next Billion Users,,,,Estimated timeApprox. 2 Weeks,Udacity,Free Course,,Intermediate,"Students should know HTML, CSS, and JavaScript, including object-oriented JavaScript. You should also have access to a mobile device capable of running the latest version of Google Chrome.See the Technology Requirements for using Udacity.",Progressive Web AppsWhat is a Progressive Web App is and why you would want to make one?Get started building out your very own app shell.What is a Progressive Web App is and why you would want to make one?Get started building out your very own app shell.Service WorkersUse Service Workers to enable your application to work offline.Identify which assets you should cache and how to use these cached assets in your application.Use Service Workers to enable your application to work offline.Identify which assets you should cache and how to use these cached assets in your application.Web App ManifestAllow users to install your Progressive Web App to their device’s home screen.Properly configure a Web App Manifest.Allow users to install your Progressive Web App to their device’s home screen.Properly configure a Web App Manifest.
Writing READMEs,https://www.udacity.com/course/writing-readmes--ud777,"Because Code is for Humans, Too",,,,Estimated timeApprox. 3 Days,Udacity,Free Course,,Beginner,"This course is for anybody who writes code or works with others who do. The only prerequisites are:A basic understanding of HTMLA basic understanding of git and GitHub (helpful, but not required!)See the Technology Requirements for using Udacity.",Writing READMEsLearn what documentation is and who it's for.Learn what parts make up a great README file.Use Markdown to write a README file quickly and easily.Learn what documentation is and who it's for.Learn what parts make up a great README file.Use Markdown to write a README file quickly and easily.
Software Analysis & Testing,https://www.udacity.com/course/software-analysis-testing--ud333,Offered at Georgia Tech as CS 6340,,,,Estimated timeApprox. 16 Weeks,Udacity,Free Course,,Intermediate,"To be prepared for this course, you should be very comfortable with:Mathematical and logical reasoning (e.g. basics of set theory, graph theory, boolean algebra, and probability)Programming in a high-level language like JavaShell scripting on Linux-like operating systemsSee the Technology Requirements for using Udacity.",TestingPrinciples of random testing.Automatically generating tests.Principles of random testing.Automatically generating tests.AnalysisAnalyzing dataflows within a program.Analyzing pointers.Analyzing software based on constraints.Analyzing dataflows within a program.Analyzing pointers.Analyzing software based on constraints.DebuggingBasics of type systems.Statistical principles of debugging.Dynamic symbolic execution.Basics of type systems.Statistical principles of debugging.Dynamic symbolic execution.
iOS Persistence and Core Data,https://www.udacity.com/course/ios-persistence-and-core-data--ud325,Learn how to store data between app launches,,,,Estimated timeApprox. 2 Months,Udacity,Free Course,,Advanced,"This course assumes extensive iOS experience. Specifically, you’ve built several apps, know how to use core iOS libraries, and are familiar with networking and MVC design principles. Introduction to iOS App Development with Swift, UIKit Fundamentals, and iOS Networking with Swift are good courses to take if you need to familiarize yourself with these concepts.The course also assumes basic familiarity with git. Specifically, you will need to be able to clone git repositories and checkout branches specific to each lesson. How to Use Git & GitHub is a great option if you need to brush up on these skills.You will need access to a Mac computer running OS X 10.9 or later. However, you do not need an iPad or iPhone to complete the activities. All exercises can be completed using the iOS simulator built into Xcode. See the Technology Requirements for using Udacity.","Simple PersistenceLearn about simple persistence and how to save small pieces of data.Set user preferences using NSUserDefaults in an existing app.Enable an app’s user preferences to appear in the Settings app.Learn about simple persistence and how to save small pieces of data.Set user preferences using NSUserDefaults in an existing app.Enable an app’s user preferences to appear in the Settings app.The iOS File SystemLearn about the iOS File System, and your app’s sandbox.Read and save files using NSFileManager in an existing app.Understand the performance implications of atomic (all-at-once) file operations.Learn about the iOS File System, and your app’s sandbox.Read and save files using NSFileManager in an existing app.Understand the performance implications of atomic (all-at-once) file operations.Introducing Core DataMeet Core Data, Apple’s framework for managing the data layer.Explore what a data layer is.Convert a non-Core Data note-taking app to have a Core Data model.Meet Core Data, Apple’s framework for managing the data layer.Explore what a data layer is.Convert a non-Core Data note-taking app to have a Core Data model.The Core Data StackSet up the classes we need to get Core Data up and running.Use the stack to manage model object creation and deletion.Persist changes so that data stays put when you restart the app or device.Set up the classes we need to get Core Data up and running.Use the stack to manage model object creation and deletion.Persist changes so that data stays put when you restart the app or device.Simpler Code with Core DataEnable user interfaces to reactively update whenever the model changes.Set up an NSFetchedResultsController to observe data changes and notify the UI.Create a new version of a data model, modify a table view to work with a fetched results controller, and turn on caching.Enable user interfaces to reactively update whenever the model changes.Set up an NSFetchedResultsController to observe data changes and notify the UI.Create a new version of a data model, modify a table view to work with a fetched results controller, and turn on caching.Core Data & ConcurrencyUpdate the data model and safely migrate user data between versions.Work with multiple managed object contexts for different types of tasks.Keep the user interface responsive by sending lengthy tasks to a background queue.Update the data model and safely migrate user data between versions.Work with multiple managed object contexts for different types of tasks.Keep the user interface responsive by sending lengthy tasks to a background queue."
Computer Networking,https://www.udacity.com/course/computer-networking--ud436,Security and Software Defined Networking,,,,Estimated timeApprox. 3 Months,Udacity,Free Course,,Intermediate,The ideal preparation for this course would be the successful completion of an undergraduate level Computer Networking course. An understanding of the TCP/IP protocol and the its layer model is recommended. Basic knowledge of python (such as through Intro to Computer Science) is required.You should be comfortable with the implementation of basic search algorithms and a working knowledge of Linux and virtual machines is recommended.See the Technology Requirements for using Udacity.,"IntroductionComputer Networking OverviewWhat This Class is Not AboutComputer Networking OverviewWhat This Class is Not AboutArchitecture & PrinciplesA Brief History of the InternetArchitectural Design PrinciplesPacket SwitchingFile TransferEnd to End Argument ViolationsA Brief History of the InternetArchitectural Design PrinciplesPacket SwitchingFile TransferEnd to End Argument ViolationsSwitchingSwitching and BridgingBootstrapping: Networking Two HostsARP: Address Resolution ProtocolInterconnecting LANs with HubsSwitches: Traffic IsolationSpanning TreeSwitches vs. RoutersBuffer Sizing for a TCP SenderSwitching and BridgingBootstrapping: Networking Two HostsARP: Address Resolution ProtocolInterconnecting LANs with HubsSwitches: Traffic IsolationSpanning TreeSwitches vs. RoutersBuffer Sizing for a TCP SenderRoutingInternet RoutingIntra-AS TopologyDistance-Vector RoutingLink State RoutingInterdomain RoutingIGP vs. iBGPBGP Route SelectionMultiple Exit Discriminator (MEI)Interdomain Routing Business ModelsInternet RoutingIntra-AS TopologyDistance-Vector RoutingLink State RoutingInterdomain RoutingIGP vs. iBGPBGP Route SelectionMultiple Exit Discriminator (MEI)Interdomain Routing Business ModelsNaming, Addressing & ForwardingIP AddressingPre-1994: “Classful” AddressingIP Address AllocationClassless Interdomain Routing (CIDR)Multihoming Frustrates AggregationAddress Lookup Using TriesMemory Efficiency and Fast LookupAlternatives to LPM with TriesNAT and IPv6Network Address Translation (NAT)IP AddressingPre-1994: “Classful” AddressingIP Address AllocationClassless Interdomain Routing (CIDR)Multihoming Frustrates AggregationAddress Lookup Using TriesMemory Efficiency and Fast LookupAlternatives to LPM with TriesNAT and IPv6Network Address Translation (NAT)Router Design BasicsRouter DesignBasic Router ArchitectureDecision: Crossbar SwitchingSwitching Algorithm: Maximal MatchingHead of Line BlockingScheduling and FairnessMax-Min FairnessRouter DesignBasic Router ArchitectureDecision: Crossbar SwitchingSwitching Algorithm: Maximal MatchingHead of Line BlockingScheduling and FairnessMax-Min FairnessDomain Name System (DNS)Record TypesExamples (using “dig”)Lookup IP AddressRecord TypesExamples (using “dig”)Lookup IP AddressCongestion Control & StreamingCongestion ControlAIMD (TCP Congestion Control)Data Centers & TCP “Incast”Barrier Synchronization & Idle TimeMultimedia & StreamingDigitizing Audio & VideoStreaming VideoSkypeCongestion ControlAIMD (TCP Congestion Control)Data Centers & TCP “Incast”Barrier Synchronization & Idle TimeMultimedia & StreamingDigitizing Audio & VideoStreaming VideoSkypeRate Limiting and Traffic ShapingTraffic Classification & ShapingSource ClassificationLeaky Bucket Traffic Shaping(r, t) Traffic ShapingShaping Bursty Traffic PatternsPower BoostEffects on LatencyBuffer BloatPacket MonitoringTraffic Classification & ShapingSource ClassificationLeaky Bucket Traffic Shaping(r, t) Traffic ShapingShaping Bursty Traffic PatternsPower BoostEffects on LatencyBuffer BloatPacket MonitoringContent DistributionThe Web and CachingHTTP RequestsPersistent ConnectionsContent Distribution Networks (CDNs)Server SelectionContent RoutingBit TorrentSolution to Freeriding: “Choking”Distributed Hash TablesConsistent HashingThe Web and CachingHTTP RequestsPersistent ConnectionsContent Distribution Networks (CDNs)Server SelectionContent RoutingBit TorrentSolution to Freeriding: “Choking”Distributed Hash TablesConsistent HashingSoftware Defined NetworkingNetwork Management OverviewSoftware Defined Networking (SDN)Control and Data PlanesDifferent SDN ControllersNOX: OverviewRyu, Floodlight, Nox and PoxCustomizing ControlNetwork Management OverviewSoftware Defined Networking (SDN)Control and Data PlanesDifferent SDN ControllersNOX: OverviewRyu, Floodlight, Nox and PoxCustomizing ControlTraffic EngineeringTraffic Engineering OverviewInterdomain Traffic EngineeringMeasuring, Modeling and Controlling TrafficLink Utilization FunctionBGP in Interdomain Traffic EngineeringMultipath RoutingData Center NetworkingValiant Load BalanceJellyfish Data Center TopologyTraffic Engineering OverviewInterdomain Traffic EngineeringMeasuring, Modeling and Controlling TrafficLink Utilization FunctionBGP in Interdomain Traffic EngineeringMultipath RoutingData Center NetworkingValiant Load BalanceJellyfish Data Center TopologyNetwork SecurityInternet is InsecureResource ExhaustionRouting SecurityOrigin and Path AuthenticationDNS SecurityDNS Cache PoisoningInternet is InsecureResource ExhaustionRouting SecurityOrigin and Path AuthenticationDNS SecurityDNS Cache PoisoningInternet WormsViruses and Internet WormsInternet Worm LifecyleFirst Worm: “Morris” WormWorm Outbreaks in DetailModeling Fast-Spreading WormsViruses and Internet WormsInternet Worm LifecyleFirst Worm: “Morris” WormWorm Outbreaks in DetailModeling Fast-Spreading WormsSpamSpamIP BlacklistingSpamIP BlacklistingDenial of Service (DoS) AttacksTCP 3-Way HandshakeInferring Denial of Service Activity using BackscatterAutomated DoS Attack MitigationMTPCPTCP 3-Way HandshakeInferring Denial of Service Activity using BackscatterAutomated DoS Attack MitigationMTPCP"
Firebase Analytics: iOS,https://www.udacity.com/course/firebase-analytics-ios--ud353,Improve your apps with better user data,,,,Estimated timeApprox. 1 Day,Udacity,Free Course,,Intermediate,"Some experience with Firebase is highly recommended. Check out Firebase in a Weekend: iOS and Firebase in a Weekend: Android to learn more about Firebase.You need to have proficiency in building an iOS mobile application, including experience in basic command line, calling a web or cloud API, working with the view controller life cycle, using multiple view controllers, and working with UITableViewController (iOS Developer Nanodegree or equivalent level). Familiarity working with a web service from iOS, using Core Data, or building apps that use databases will also be helpful.See the Technology Requirements for using Udacity.",Introduction to Digital AnalyticsGoalsStrategiesKey Performance IndicatorsGoalsStrategiesKey Performance IndicatorsIntroduction to Firebase AnalyticsFirebase Analytics Dashboard IntroductionEvents and Conversion EventsAudiences and FunnelsFirebase Analytics Dashboard IntroductionEvents and Conversion EventsAudiences and FunnelsImplementing In-App AnalyticsSuggested EventsCustom EventsLogging User PropertiesSuggested EventsCustom EventsLogging User PropertiesAnalytics IntegrationCrash ReportingRemote ConfigDynamic LinksCrash ReportingRemote ConfigDynamic Links
Human-Computer Interaction,https://www.udacity.com/course/human-computer-interaction--ud400,Offered at Georgia Tech as 6750,,,,Estimated timeApprox. 16 Weeks,Udacity,Free Course,,Intermediate,"This class does not have significant prerequisites before participation. In lieu of readiness questions, the following bullet points describe the tasks you will complete as part of this class; you may use this description of tasks to evaluate your readiness to take this class.You will analyze and evaluate user interfaces, both ones that we provide and ones that you go out and find on your own.You will conduct needfinding exercises to uncover problems that can be address through HCI methods.You will prototype user interfaces based on principles you learn within class in response to those needs.You will evaluate your user interfaces based on feedback you receive from potential users.You will revise your user interfaces accordingly and iterate on the prototyping process.You will apply those principles to an emerging area of HCI.See the Technology Requirements for using Udacity.","PrinciplesFeedback Cycles and Direct ManipulationDesign Principles and HeuristicsMental Models and Distributed CognitionFeedback Cycles and Direct ManipulationDesign Principles and HeuristicsMental Models and Distributed CognitionMethodsNeedfinding and Requirements GatheringLow-Fidelity to High-Fidelity PrototypingPredictive, Empirical, and Qualitative EvaluationNeedfinding and Requirements GatheringLow-Fidelity to High-Fidelity PrototypingPredictive, Empirical, and Qualitative EvaluationApplicationsVirtual and Augmented Reality, and othersUbiquitous and Context-Sensitive Computing, and othersHealthcare, Education, and Security, and othersVirtual and Augmented Reality, and othersUbiquitous and Context-Sensitive Computing, and othersHealthcare, Education, and Security, and others"
2D Game Development with libGDX,https://www.udacity.com/course/2d-game-development-with-libgdx--ud405,Building Cross Platform Mobile Games,,,,Estimated timeApprox. 8 Weeks,Udacity,Free Course,,Intermediate,"This course assumes basic proficiency with Java, including working with collections, implementing interfaces, and extending abstract classes. It is also assumed that you can read and understand documentation and source code.Proficiency with Git and Android Studio is helpful, but not required.To brush up on these skills, consider taking Java Programming Basics, and How to Install Android Studio.See the Technology Requirements for using Udacity.","Intro to Cross Platform Game DevelopmentLibGDX allows you write a game and deploy it to Android and iOS devices, desktop computers and browsers.Explore the functionality that the LibGDX game framework provides.LibGDX allows you write a game and deploy it to Android and iOS devices, desktop computers and browsers.Explore the functionality that the LibGDX game framework provides.Intro to LibGDXImport and your first LibGDX project.Run it on your computer and Android device.Learn the basic structure of a LibGDX game.Import and your first LibGDX project.Run it on your computer and Android device.Learn the basic structure of a LibGDX game.DrawingUse the LibGDX ShapeRenderer object to draw some simple shapes (and some not-so-simple fractals).Use the LibGDX ShapeRenderer object to draw some simple shapes (and some not-so-simple fractals).Cameras and ViewportsUse a camera to focus the player's field of view on a portion of a larger game world.Learn to use viewports to simplify camera management.Use a camera to focus the player's field of view on a portion of a larger game world.Learn to use viewports to simplify camera management.MovementCreate simple animations and physics effects by updating the game world over time.Learn to break up a complex game into separate screens.Create simple animations and physics effects by updating the game world over time.Learn to break up a complex game into separate screens.User InputHandle key presses, touches, and accelerometer input.Handle key presses, touches, and accelerometer input.Growing IciclesCreate the core of Icicles, including player controls.Create the core of Icicles, including player controls.Polishing IciclesAdd scoring, a head-up display, and a difficulty select screen.Add scoring, a head-up display, and a difficulty select screen."
Intro to jQuery,https://www.udacity.com/course/intro-to-jquery--ud245,Manipulating Websites with Ease,,,,Estimated timeApprox. 2 Days,Udacity,Free Course,,Intermediate,"To succeed in this course, we expect you to have some HTML and JavaScript experience. You should at minimum understand loops, functions, and conditional statements (if/else). Udacity’s JavaScript Basics course and HTML/CSS course are good preparation for this course.See the Technology Requirements for using Udacity.","The DOM, $ and SelectorsThe jQuery object ($).Review of the DOM structure.How to use selectors and filters.The jQuery object ($).Review of the DOM structure.How to use selectors and filters.DOM ManipulationHow to read jQuery documentation.How to modify HTML attributes and content.How to add and remove DOM elements.How to read jQuery documentation.How to modify HTML attributes and content.How to add and remove DOM elements."
Cyber-Physical Systems Security,https://www.udacity.com/course/cyber-physical-systems-security--ud279,Offered at Georgia Tech as CS 8803,,,,Estimated timeApprox. 16 Weeks,Udacity,Free Course,,Intermediate,Students entering this course should have:Knowledge of intermediate programming conceptsKnowledge of basic information security conceptsSee the Technology Requirements for using Udacity.,"Foundations of Cyber-Physical System SecurityComputer NetworkingInformation SecurityIndustrial NetworksComputer NetworkingInformation SecurityIndustrial NetworksIndustrial NetworksIndustrial Cyber Security HistoryIndustrial Control Systems and OperationsIndustrial Network Design, Architecture & ProtocolsIndustrial Cyber Security HistoryIndustrial Control Systems and OperationsIndustrial Network Design, Architecture & ProtocolsControl System SecurityHacking & Securing Industrial Control SystemsPrivacy in Cyber-Physical SystemsThreats to Cyber-Physical Systems in Other DomainsHacking & Securing Industrial Control SystemsPrivacy in Cyber-Physical SystemsThreats to Cyber-Physical Systems in Other Domains"
